Row ID,Order ID,Ship Date,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount, Profit ,Loss Flag,Month Extraction
7773,CA-2020-108196,25/11/2022,02/12/2020,Standard Class,CS-12505,Cindy Stewart,Consumer,United States,Lancaster,Ohio,43130,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print," $4,499.99 ",5,70.00%," $-6,599.98 ",Loss,December
684,US-2021-168116,04/11/2023,04/11/2021,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print," $7,999.98 ",4,50.00%," $-3,839.99 ",Loss,November
9775,CA-2018-169019,26/07/2020,30/07/2018,Standard Class,LF-17185,Luke Foster,Consumer,United States,San Antonio,Texas,78207,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System," $2,177.58 ",8,80.00%," $-3,701.89 ",Loss,July
3012,CA-2021-134845,17/04/2023,23/04/2021,Standard Class,SR-20425,Sharelle Roach,Home Office,United States,Louisville,Colorado,80027,West,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer," $2,549.99 ",5,70.00%," $-3,399.98 ",Loss,April
4992,US-2021-122714,07/12/2023,13/12/2021,Standard Class,HG-14965,Henry Goldwyn,Corporate,United States,Chicago,Illinois,60653,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System," $1,889.99 ",5,80.00%," $-2,929.48 ",Loss,December
3152,CA-2019-147830,15/12/2021,18/12/2019,First Class,NF-18385,Natalie Fritzler,Consumer,United States,Newark,Ohio,43055,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print," $1,799.99 ",2,70.00%," $-2,639.99 ",Loss,December
5311,CA-2021-131254,19/11/2023,21/11/2021,First Class,NC-18415,Nathan Cano,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind," $1,525.19 ",6,80.00%," $-2,287.78 ",Loss,November
9640,CA-2019-116638,28/01/2021,31/01/2019,Second Class,JH-15985,Joseph Holt,Consumer,United States,Concord,North Carolina,28027,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases," $4,297.64 ",13,40.00%," $-1,862.31 ",Loss,January
1200,CA-2020-130946,08/04/2022,12/04/2020,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System," $1,088.79 ",4,80.00%," $-1,850.95 ",Loss,April
2698,CA-2018-145317,18/03/2020,23/03/2018,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit," $22,638.48 ",6,50.00%," $-1,811.08 ",Loss,March
28,US-2019-150630,17/09/2021,21/09/2019,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"," $3,083.43 ",7,50.00%," $-1,665.05 ",Loss,September
3325,CA-2018-165309,11/11/2020,15/11/2018,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System, $896.99 ,5,80.00%," $-1,480.03 ",Loss,November
166,CA-2018-139892,08/09/2020,12/09/2018,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer," $8,159.95 ",8,40.00%," $-1,359.99 ",Loss,September
2929,US-2021-120390,19/10/2023,26/10/2021,Standard Class,TH-21550,Tracy Hopkins,Home Office,United States,Burlington,North Carolina,27217,South,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System," $1,633.19 ",4,70.00%," $-1,306.55 ",Loss,October
7899,CA-2021-128363,13/08/2023,18/08/2021,Standard Class,DC-12850,Dan Campbell,Consumer,United States,Memphis,Tennessee,38109,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System," $1,614.58 ",6,70.00%," $-1,237.85 ",Loss,August
4821,CA-2019-140025,07/04/2021,11/04/2019,Standard Class,PF-19120,Peter Fuller,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup, $463.25 ,8,80.00%," $-1,181.28 ",Loss,April
2847,CA-2021-152093,10/09/2023,15/09/2021,Standard Class,SN-20560,Skye Norling,Home Office,United States,Chicago,Illinois,60653,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind, $762.59 ,3,80.00%," $-1,143.89 ",Loss,September
8641,US-2021-148551,12/01/2023,16/01/2021,Standard Class,DB-13120,David Bremer,Corporate,United States,Dallas,Texas,75217,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System, $760.98 ,5,80.00%," $-1,141.47 ",Loss,January
4356,CA-2019-155600,04/12/2021,07/12/2019,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Clarksville,Tennessee,37042,South,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System," $1,598.06 ",7,70.00%," $-1,065.37 ",Loss,December
1804,CA-2021-158379,22/09/2023,26/09/2021,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener," $4,663.74 ",7,20.00%," $-1,049.34 ",Loss,September
